id,instrument,family,x,y,pitch,dynamic,spectral_complexity,spectral_center
trumpet in c.m19.Gb1.fff.Aht456,trumpet in c,trumpets,13.298653,-7.0154753,54,fff,0.0479,982.8
bass trumpet.m50.C5.ppp.Wnb827,bass trumpet,trumpets,12.258538,16.214546,0,ppp,0.0083,645.3
bass trumpet.m29.Gb1.fff.Wnb456,bass trumpet,trumpets,10.948058,-8.925716,42,fff,0.0196,515.7
piccolo trumpet.m36.G3.fff.Art1778,piccolo trumpet,trumpets,10.072364,-8.56808,29,fff,0.0154,511.8
bass trumpet.m33.Eb4.ppp.Wnb602,bass trumpet,trumpets,13.295946,14.539962,9,ppp,0.0059,335.3
bass trumpet.m36.Gb2.p.Wnb1671,bass trumpet,trumpets,3.476322,4.2461286,30,p,0.0293,458.7
bass trumpet.m44.Eb3.ppp.Wnb212,bass trumpet,trumpets,13.219137,13.940224,21,ppp,0.0144,388.0
trumpet in c.m46.C4.fff.Aht1173,trumpet in c,trumpets,15.929782,-0.026064347,24,fff,0.0677,4086.1
trumpet in c.m22.C2.mf.Aht739,trumpet in c,trumpets,4.5539474,1.0930371,48,mf,0.0116,310.2
bass trumpet.m31.A4.fff.Wnb120,bass trumpet,trumpets,10.348587,-5.8164053,3,fff,0.034,1132.7
piccolo trumpet.m23.Bb3.mf.Art2556,piccolo trumpet,trumpets,3.9592679,0.9278743,26,mf,0.0037,287.3
bass trumpet.m52.A1.mf.Wnb676,bass trumpet,trumpets,6.387753,2.4308054,39,mf,0.0381,696.5
piccolo trumpet.m44.E2.mf.Art2790,piccolo trumpet,trumpets,4.472392,1.028193,44,mf,0.0093,271.2
bass trumpet.m49.A1.fff.Wnb729,bass trumpet,trumpets,11.434426,-7.967626,39,fff,0.0281,721.7
bass trumpet.m38.Eb2.mp.Wnb26,bass trumpet,trumpets,2.0681672,2.342924,33,mp,0.0217,476.1
trumpet in c.m48.Gb4.fff.Aht1275,trumpet in c,trumpets,14.695785,-1.927532,18,fff,0.0171,2541.8
bass trumpet.m40.C3.E3.Wnb1327,bass trumpet,trumpets,7.596682,14.7901745,253,---,0.0242,538.1
trumpet in c.m37.Gb4.ppp.Aht191,trumpet in c,trumpets,10.174436,12.254338,13,ppp,0.0293,857.6
bass trumpet.m40.G2.Db3.Wnb1284,bass trumpet,trumpets,7.7139525,15.157385,351,---,0.022,492.1
trumpet in c.m2.C4.mf.Aht1411,trumpet in c,trumpets,10.807057,2.0678554,0,mf,0.1801,2011.3
bass trumpet.m38.Gb4.mp.Wnb62,bass trumpet,trumpets,1.9527857,1.7403688,6,mp,0.0042,560.9
trumpet in c.m17.Gb1.mf.Aht361,trumpet in c,trumpets,6.613854,2.533587,54,mf,0.0248,691.4
piccolo trumpet.m40.G5.mf.Art2925,piccolo trumpet,trumpets,10.312857,1.9633174,5,mf,0.0147,1814.4
bass trumpet.m31.Eb2.fff.Wnb90,bass trumpet,trumpets,9.189429,-7.4387712,33,fff,0.0469,749.1
trumpet in c.m18.G5.ppp.Aht398,trumpet in c,trumpets,7.5928154,12.915986,0,ppp,0.0024,763.1
trumpet in c.m39.A3.fff.Aht1068,trumpet in c,trumpets,13.326585,-7.0417676,22,fff,0.032,936.0
trumpet in c.m45.Gb3.fff.Aht783,trumpet in c,trumpets,13.822064,-3.7087214,30,fff,0.0196,1924.1
bass trumpet.m50.Gb2.fff.Wnb795,bass trumpet,trumpets,11.397003,-6.755882,30,fff,0.031,974.1
bass trumpet.m41.Eb1.vmedium rounded cavity.fff.Wnb1624,bass trumpet,trumpets,10.453267,-7.9763207,16,fff,0.0483,558.8
trumpet in c.m18.F5.ppp.Aht395,trumpet in c,trumpets,7.485216,12.545678,2,ppp,0.0042,824.1
bass trumpet.m54.A2.ppp.Wnb1016,bass trumpet,trumpets,10.023739,10.492339,27,ppp,0.0261,1231.8
piccolo trumpet.m41.E4.ppp.Art2863,piccolo trumpet,trumpets,10.128839,11.238635,20,ppp,0.0367,1019.3
piccolo trumpet.m43.Db3.mf.Art2757,piccolo trumpet,trumpets,5.261859,2.0003293,35,mf,0.0039,268.4
piccolo trumpet.m46.G3.fff.Art3098,piccolo trumpet,trumpets,13.804253,-3.7002838,27,fff,0.0078,1967.0
bass trumpet.m47.C2.fff.Wnb843,bass trumpet,trumpets,11.453163,-7.8854113,36,fff,0.0371,782.9
piccolo trumpet.m13.E5.fff.Art1883,piccolo trumpet,trumpets,13.387876,-3.7738144,8,fff,0.0012,1877.6
piccolo trumpet.m47.G5.fff.Art3146,piccolo trumpet,trumpets,14.992761,-0.45805833,3,fff,0.0371,3366.7
piccolo trumpet.m29.C6.fff.Art2252,piccolo trumpet,trumpets,13.991005,-4.9454527,0,fff,0.0117,1818.9
bass trumpet.m43.Eb2.mf.Wnb361,bass trumpet,trumpets,6.9465075,1.6555916,33,mf,0.0447,795.9
bass trumpet.m40.B3.E2.Wnb1186,bass trumpet,trumpets,5.6948204,14.466513,56,---,0.0078,491.8
trumpet in c.m17.Gb2.mf.Aht349,trumpet in c,trumpets,7.631773,1.4701447,42,mf,0.0181,951.0
piccolo trumpet.m22.Bb1.ppp.Art2521,piccolo trumpet,trumpets,13.546148,14.173035,50,ppp,0.0042,254.9
bass trumpet.m40.D2.Bb2.Wnb1241,bass trumpet,trumpets,7.907008,15.236223,449,---,0.0171,485.3
trumpet in c.m22.Eb3.ppp.Aht725,trumpet in c,trumpets,13.529587,15.802969,33,ppp,0.0015,205.8
piccolo trumpet.m10.Db4.fff.Art3467,piccolo trumpet,trumpets,15.373105,0.05272194,9,fff,0.1369,3653.8
trumpet in c.m38.C6.mf.Aht913,trumpet in c,trumpets,8.357215,1.8100609,0,mf,0.0022,1149.9
bass trumpet.m40.B2.G2.Wnb1212,bass trumpet,trumpets,7.5555835,14.788344,281,---,0.0166,512.9
piccolo trumpet.m41.Bb4.mf.Art2886,piccolo trumpet,trumpets,9.089343,1.9191153,14,mf,0.0105,1405.6
piccolo trumpet.m3.G4.ppp.Art3442,piccolo trumpet,trumpets,12.801994,4.460219,3,ppp,0.1642,2042.5
piccolo trumpet.m40.G3.mf.Art2973,piccolo trumpet,trumpets,4.3554454,0.8446925,29,mf,0.0083,357.1
bass trumpet.m55.A1.ppp.Wnb1055,bass trumpet,trumpets,11.003782,10.952768,39,ppp,0.0137,978.7
bass trumpet.m52.Gb3.ppp.Wnb701,bass trumpet,trumpets,10.270693,12.264133,18,ppp,0.0156,855.5
trumpet in c.m24.A3.fff.Aht1605,trumpet in c,trumpets,11.590051,-8.584361,3,fff,0.056,634.0
piccolo trumpet.m40.Bb1.ppp.Art3058,piccolo trumpet,trumpets,12.76815,14.148958,50,ppp,0.01,403.4
piccolo trumpet.m21.Db5.fff.Art1700,piccolo trumpet,trumpets,12.584342,-4.383743,11,fff,0.0225,1326.6
piccolo trumpet.m44.Bb3.fff.Art2717,piccolo trumpet,trumpets,12.541943,-5.7094116,26,fff,0.0115,1250.0
trumpet in c.m21.C5.fff.Aht99,trumpet in c,trumpets,13.122389,-3.7809587,7,fff,0.0315,1756.8
bass trumpet.m44.Gb3.mf.Wnb214,bass trumpet,trumpets,8.373869,1.3381071,18,mf,0.0061,1135.8
trumpet in c.m17.Eb4.mf.Aht313,trumpet in c,trumpets,7.5973253,1.3205886,21,mf,0.0051,911.5
bass trumpet.m33.Gb1.ppp.Wnb566,bass trumpet,trumpets,13.476628,15.557804,42,ppp,0.0044,210.6
piccolo trumpet.m0.Eb4.mf.Art3309,piccolo trumpet,trumpets,14.799192,0.41560215,7,mf,0.1857,3412.0
bass trumpet.m38.A4.mp.Wnb66,bass trumpet,trumpets,1.9491899,1.7834693,3,mp,0.0017,534.4
piccolo trumpet.m40.C6.fff.Art2948,piccolo trumpet,trumpets,13.843254,-3.336001,0,fff,0.0103,2052.6
trumpet in c.m46.C2.mf.Aht1219,trumpet in c,trumpets,9.869333,2.3234959,48,mf,0.0452,1688.5
bass trumpet.m48.C5.mf.Wnb934,bass trumpet,trumpets,2.7671719,0.34086648,0,mf,0.0039,540.4
piccolo trumpet.m6.G4.fff.Art3422,piccolo trumpet,trumpets,14.964066,-0.49144924,3,fff,0.2204,3341.0
trumpet in c.m22.A3.ppp.Aht692,trumpet in c,trumpets,13.444202,15.327571,27,ppp,0.002,270.9
trumpet in c.m33.A4.mf.Aht1510,trumpet in c,trumpets,8.151499,1.1201978,3,mf,0.0385,997.2
bass trumpet.m33.C4.fff.Wnb597,bass trumpet,trumpets,14.109969,-2.2917016,12,fff,0.086,2349.2
piccolo trumpet.m21.Db3.ppp.Art1726,piccolo trumpet,trumpets,8.061798,12.529563,35,ppp,0.0516,876.6
piccolo trumpet.m41.Bb3.ppp.Art2959,piccolo trumpet,trumpets,10.945551,12.605807,26,ppp,0.0367,686.8
trumpet in c.m38.Gb3.fff.Aht792,trumpet in c,trumpets,13.307016,-6.9973106,30,fff,0.0105,1041.1
piccolo trumpet.m41.Bb5.mf.Art2934,piccolo trumpet,trumpets,10.806773,1.5768332,2,mf,0.0098,2103.3
piccolo trumpet.m42.Bb4.fff.Art2882,piccolo trumpet,trumpets,14.457762,-1.1143787,14,fff,0.0706,2823.8
trumpet in c.m25.Eb5.fff.Aht1593,trumpet in c,trumpets,13.206995,-5.155118,5,fff,0.0068,1486.5
trumpet in c.m43.Gb1.mf.Aht1018,trumpet in c,trumpets,8.0545435,2.1624048,54,mf,0.0225,1072.3
trumpet in c.m14.A5.fff.Aht234,trumpet in c,trumpets,13.729177,-5.102873,3,fff,0.0081,1616.3
piccolo trumpet.m13.Bb1.ppp.Art1921,piccolo trumpet,trumpets,13.07483,14.299872,50,ppp,0.0156,397.1
bass trumpet.m40.E1.Bb2.Wnb1232,bass trumpet,trumpets,9.123253,14.641233,632,---,0.0232,428.5
bass trumpet.m49.A1.ppp.Wnb731,bass trumpet,trumpets,12.684487,12.383029,39,ppp,0.0227,509.0
